ID,Band0,Band1,Band2,Class
4554,45.0,20.0,16.0,1
4555,41.0,11.0,9.0,1
4556,74.0,36.0,35.0,1
4557,73.0,29.0,28.0,1
4558,76.0,28.0,26.0,1
4559,89.0,40.0,36.0,1
4560,89.0,40.0,36.0,1
4561,103.0,52.0,49.0,1
4562,97.0,46.0,43.0,1
4563,89.0,36.0,32.0,1
4564,82.0,29.0,25.0,1
4565,83.0,28.0,25.0,1
4566,82.0,24.0,20.0,1
4567,112.0,51.0,46.0,1
4568,115.0,52.0,47.0,1
4569,106.0,41.0,39.0,1
4570,116.0,48.0,47.0,1
4571,105.0,35.0,33.0,1
4572,97.0,26.0,24.0,1
4573,90.0,19.0,17.0,1
4574,107.0,33.0,32.0,1
4575,113.0,39.0,38.0,1
4576,124.0,53.0,51.0,1
4577,107.0,37.0,37.0,1
4578,71.0,7.0,7.0,1
4579,68.0,10.0,9.0,1
4580,58.0,8.0,7.0,1
4581,49.0,4.0,1.0,1
4582,67.0,22.0,19.0,1
4583,99.0,51.0,49.0,1
4584,90.0,40.0,39.0,1
4585,72.0,21.0,18.0,1
4586,89.0,38.0,35.0,1
4587,93.0,39.0,37.0,1
4588,79.0,25.0,23.0,1
4589,77.0,23.0,21.0,1
4590,88.0,35.0,31.0,1
4591,102.0,49.0,45.0,1
4592,84.0,33.0,29.0,1
4593,86.0,37.0,32.0,1
4594,86.0,37.0,33.0,1
4595,76.0,28.0,24.0,1
4596,83.0,39.0,36.0,1
4597,91.0,52.0,47.0,1
4598,81.0,46.0,42.0,1
4599,54.0,21.0,16.0,1
4600,48.0,17.0,14.0,1
4601,44.0,13.0,10.0,1
4602,51.0,20.0,17.0,1
4603,77.0,44.0,39.0,1
4604,78.0,45.0,38.0,1
4605,79.0,44.0,38.0,1
4606,91.0,56.0,50.0,1
4607,83.0,48.0,42.0,1
4608,47.0,18.0,12.0,1
4609,85.0,25.0,24.0,1
4610,90.0,39.0,36.0,1
4611,76.0,32.0,31.0,1
4612,70.0,32.0,31.0,1
