ID,Band0,Band1,Band2,Class
5496,42.0,52.0,53.0,4
5497,40.0,49.0,48.0,4
5498,36.0,45.0,44.0,4
5499,26.0,35.0,34.0,4
5500,34.0,43.0,42.0,4
5501,22.0,30.0,32.0,4
5502,36.0,44.0,47.0,4
5503,33.0,43.0,45.0,4
5504,28.0,38.0,40.0,4
5505,29.0,40.0,42.0,4
5506,30.0,42.0,42.0,4
5507,28.0,40.0,40.0,4
5508,25.0,37.0,37.0,4
5509,32.0,44.0,44.0,4
5510,53.0,61.0,63.0,4
5511,53.0,63.0,64.0,4
5512,39.0,49.0,50.0,4
5513,51.0,59.0,61.0,4
5514,62.0,71.0,70.0,4
5515,52.0,61.0,60.0,4
5516,57.0,66.0,65.0,4
5517,49.0,57.0,59.0,4
5518,57.0,65.0,68.0,4
5519,48.0,56.0,59.0,4
5520,41.0,51.0,53.0,4
5521,33.0,44.0,46.0,4
5522,33.0,44.0,46.0,4
5523,33.0,44.0,46.0,4
5524,28.0,39.0,41.0,4
5525,28.0,39.0,41.0,4
5526,56.0,64.0,67.0,4
5527,47.0,57.0,59.0,4
5528,17.0,27.0,28.0,4
5529,39.0,47.0,49.0,4
5530,41.0,49.0,51.0,4
5531,33.0,42.0,41.0,4
5532,55.0,64.0,63.0,4
5533,92.0,98.0,98.0,4
5534,128.0,133.0,136.0,4
5535,126.0,134.0,137.0,4
5536,86.0,94.0,97.0,4
5537,92.0,102.0,104.0,4
5538,102.0,112.0,113.0,4
5539,93.0,103.0,104.0,4
5540,88.0,98.0,99.0,4
5541,88.0,98.0,99.0,4
5542,55.0,63.0,66.0,4
5543,31.0,41.0,43.0,4
5544,19.0,29.0,31.0,4
5545,46.0,54.0,56.0,4
5546,38.0,46.0,48.0,4
5547,29.0,38.0,37.0,4
5548,50.0,59.0,58.0,4
5549,108.0,114.0,114.0,4
5550,101.0,107.0,107.0,4
5551,86.0,94.0,96.0,4
5552,43.0,51.0,54.0,4
5553,58.0,66.0,68.0,4
5554,121.0,131.0,132.0,4
5555,102.0,112.0,113.0,4
5556,115.0,125.0,126.0,4
5557,126.0,135.0,134.0,4
5558,62.0,70.0,72.0,4
5559,15.0,25.0,27.0,4
5560,33.0,43.0,45.0,4
5561,47.0,55.0,57.0,4
5562,34.0,42.0,44.0,4
5563,27.0,35.0,37.0,4
5564,55.0,63.0,65.0,4
5565,69.0,78.0,77.0,4
5566,102.0,111.0,110.0,4
5567,89.0,97.0,99.0,4
5568,79.0,87.0,89.0,4
5569,68.0,78.0,79.0,4
5570,65.0,77.0,77.0,4
5571,71.0,83.0,81.0,4
5572,80.0,92.0,90.0,4
